2025-03-13 22:54:57.618594: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-03-13 22:54:57.632773: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1741920897.649922 2251596 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1741920897.655191 2251596 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-13 22:54:57.673377: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

  0%|          | 0/10000 [00:00<?, ?it/s]
Episode 23 | Reward: -1981.11 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 23/10000 [06:19<56:45:01, 20.48s/it]
Episode 24 | Reward: -1259.36 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 23/10000 [06:39<56:45:01, 20.48s/it]
Episode 24 | Reward: -1259.36 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 24/10000 [06:39<56:07:18, 20.25s/it]
Episode 25 | Reward: -1108.52 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 24/10000 [06:59<56:07:18, 20.25s/it]
Episode 25 | Reward: -1108.52 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 25/10000 [06:59<56:21:54, 20.34s/it]
Episode 26 | Reward: -1386.28 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 25/10000 [07:19<56:21:54, 20.34s/it]
Episode 26 | Reward: -1386.28 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 26/10000 [07:19<56:07:03, 20.25s/it]
Episode 27 | Reward: -1199.51 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 26/10000 [07:39<56:07:03, 20.25s/it]
Episode 27 | Reward: -1199.51 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 27/10000 [07:39<55:54:41, 20.18s/it]
Episode 28 | Reward: -679.52 | NumTasksFinishe: 68.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 27/10000 [07:59<55:54:41, 20.18s/it] 
Episode 28 | Reward: -679.52 | NumTasksFinishe: 68.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 28/10000 [07:59<55:44:59, 20.13s/it]
Episode 29 | Reward: -470.27 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 28/10000 [08:20<55:44:59, 20.13s/it]
Episode 29 | Reward: -470.27 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 29/10000 [08:20<55:58:01, 20.21s/it]
Episode 30 | Reward: -451.24 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 29/10000 [08:40<55:58:01, 20.21s/it]
Episode 30 | Reward: -451.24 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 30/10000 [08:40<55:48:58, 20.15s/it]
Episode 31 | Reward: -87.04 | NumTasksFinishe: 58.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 30/10000 [09:00<55:48:58, 20.15s/it] 
Episode 31 | Reward: -87.04 | NumTasksFinishe: 58.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 31/10000 [09:00<55:34:13, 20.07s/it]
Episode 32 | Reward: -129.06 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 31/10000 [09:20<55:34:13, 20.07s/it]
Episode 32 | Reward: -129.06 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 32/10000 [09:20<55:42:24, 20.12s/it]
Episode 33 | Reward: 129.78 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 32/10000 [09:40<55:42:24, 20.12s/it] 
Episode 33 | Reward: 129.78 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 33/10000 [09:40<55:30:54, 20.05s/it]
Episode 34 | Reward: 160.63 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 33/10000 [10:00<55:30:54, 20.05s/it]
Episode 34 | Reward: 160.63 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 34/10000 [10:00<55:32:12, 20.06s/it]
Episode 35 | Reward: 422.53 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 34/10000 [10:20<55:32:12, 20.06s/it]
Episode 35 | Reward: 422.53 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 35/10000 [10:20<55:43:15, 20.13s/it]
Episode 36 | Reward: 207.45 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 35/10000 [10:40<55:43:15, 20.13s/it]
Episode 36 | Reward: 207.45 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 36/10000 [10:40<55:42:43, 20.13s/it]
Episode 37 | Reward: 430.00 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 36/10000 [11:01<55:42:43, 20.13s/it]
Episode 37 | Reward: 430.00 | NumTasksFinishe: 65.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 37/10000 [11:01<55:57:59, 20.22s/it]
Episode 38 | Reward: 396.58 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 37/10000 [11:21<55:57:59, 20.22s/it]
Episode 38 | Reward: 396.58 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 38/10000 [11:21<55:47:06, 20.16s/it]
Episode 39 | Reward: 476.87 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 38/10000 [11:41<55:47:06, 20.16s/it]
Episode 39 | Reward: 476.87 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 39/10000 [11:41<55:42:40, 20.13s/it]
Episode 40 | Reward: 454.97 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 39/10000 [12:01<55:42:40, 20.13s/it]
Episode 40 | Reward: 454.97 | NumTasksFinishe: 66.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 40/10000 [12:01<56:00:48, 20.25s/it]
Episode 41 | Reward: 560.18 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_1e-4Long:   0%|          | 40/10000 [12:21<56:00:48, 20.25s/it]
