2025-03-13 22:53:45.465555: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-03-13 22:53:45.480127: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1741920825.496907 2250673 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1741920825.502257 2250673 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-03-13 22:53:45.520695: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.

  0%|          | 0/5000 [00:00<?, ?it/s]
Episode 26 | Reward: 507.10 | NumTasksFinishe: 61.0 | Checkpoint: SAC_A**20_5000long:   0%|          | 25/5000 [07:16<28:13:17, 20.42s/it]
Episode 26 | Reward: 507.10 | NumTasksFinishe: 61.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 26/5000 [07:16<28:15:51, 20.46s/it]
Episode 27 | Reward: 498.02 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 26/5000 [07:36<28:15:51, 20.46s/it]
Episode 27 | Reward: 498.02 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 27/5000 [07:36<28:14:43, 20.45s/it]
Episode 28 | Reward: 613.32 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 27/5000 [07:56<28:14:43, 20.45s/it]
Episode 28 | Reward: 613.32 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 28/5000 [07:56<28:06:01, 20.35s/it]
Episode 29 | Reward: 593.47 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 28/5000 [08:17<28:06:01, 20.35s/it]
Episode 29 | Reward: 593.47 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 29/5000 [08:17<28:01:45, 20.30s/it]
Episode 30 | Reward: 498.02 | NumTasksFinishe: 57.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 29/5000 [08:37<28:01:45, 20.30s/it]
Episode 30 | Reward: 498.02 | NumTasksFinishe: 57.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 30/5000 [08:37<27:59:22, 20.27s/it]
Episode 31 | Reward: 494.83 | NumTasksFinishe: 61.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 30/5000 [08:57<27:59:22, 20.27s/it]
Episode 31 | Reward: 494.83 | NumTasksFinishe: 61.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 31/5000 [08:57<27:52:12, 20.19s/it]
Episode 32 | Reward: 457.81 | NumTasksFinishe: 56.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 31/5000 [09:17<27:52:12, 20.19s/it]
Episode 32 | Reward: 457.81 | NumTasksFinishe: 56.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 32/5000 [09:17<27:53:49, 20.22s/it]
Episode 33 | Reward: 510.35 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 32/5000 [09:37<27:53:49, 20.22s/it]
Episode 33 | Reward: 510.35 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 33/5000 [09:37<27:47:37, 20.14s/it]
Episode 34 | Reward: 460.10 | NumTasksFinishe: 57.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 33/5000 [09:57<27:47:37, 20.14s/it]
Episode 34 | Reward: 460.10 | NumTasksFinishe: 57.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 34/5000 [09:57<27:48:47, 20.16s/it]
Episode 35 | Reward: 457.19 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 34/5000 [10:17<27:48:47, 20.16s/it]
Episode 35 | Reward: 457.19 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 35/5000 [10:17<27:38:47, 20.05s/it]
Episode 36 | Reward: 551.55 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 35/5000 [10:37<27:38:47, 20.05s/it]
Episode 36 | Reward: 551.55 | NumTasksFinishe: 63.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 36/5000 [10:37<27:44:13, 20.12s/it]
Episode 37 | Reward: 492.04 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 36/5000 [10:57<27:44:13, 20.12s/it]
Episode 37 | Reward: 492.04 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 37/5000 [10:57<27:36:24, 20.03s/it]
Episode 38 | Reward: 569.41 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 37/5000 [11:17<27:36:24, 20.03s/it]
Episode 38 | Reward: 569.41 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 38/5000 [11:17<27:42:13, 20.10s/it]
Episode 39 | Reward: 558.55 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 38/5000 [11:38<27:42:13, 20.10s/it]
Episode 39 | Reward: 558.55 | NumTasksFinishe: 60.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 39/5000 [11:38<27:44:25, 20.13s/it]
Episode 40 | Reward: 470.28 | NumTasksFinishe: 58.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 39/5000 [11:58<27:44:25, 20.13s/it]
Episode 40 | Reward: 470.28 | NumTasksFinishe: 58.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 40/5000 [11:58<27:42:25, 20.11s/it]
Episode 41 | Reward: 425.27 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 40/5000 [12:18<27:42:25, 20.11s/it]
Episode 41 | Reward: 425.27 | NumTasksFinishe: 64.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 41/5000 [12:18<27:52:12, 20.23s/it]
Episode 42 | Reward: 481.48 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 41/5000 [12:38<27:52:12, 20.23s/it]
Episode 42 | Reward: 481.48 | NumTasksFinishe: 62.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 42/5000 [12:38<27:46:46, 20.17s/it]
Episode 43 | Reward: 614.67 | NumTasksFinishe: 61.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 42/5000 [12:58<27:46:46, 20.17s/it]
Episode 43 | Reward: 614.67 | NumTasksFinishe: 61.0 | Checkpoint: SAC_A**20_5000long:   1%|          | 43/5000 [12:58<27:45:28, 20.16s/it]
