wandb: Using wandb-core as the SDK backend.  Please refer to https://wandb.me/wandb-core for more information.
wandb: Currently logged in as: johannes-gaber (johannesg98) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.19.7
wandb: Run data is saved locally in /mnt/home/jgaber/LORR24_johannesg98/wandb/run-20250522_014454-kzhwiotv
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run CPU_TransformerConv_DividedTime_noDummy_markov
wandb: ⭐️ View project at https://wandb.ai/johannesg98/warehouse_8x6_ag200
wandb: 🚀 View run at https://wandb.ai/johannesg98/warehouse_8x6_ag200/runs/kzhwiotv

  0%|          | 0/10000 [00:00<?, ?it/s]
Episode 1 | Reward: 256000.00 | NumTasksFinishe: 205.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 0/10000 [00:15<?, ?it/s]/mnt/home/jgaber/miniconda3/envs/myenv/lib/python3.12/site-packages/numpy/core/fromnumeric.py:3504: RuntimeWarning: Mean of empty slice.
  return _methods._mean(a, axis=axis, dtype=dtype,
/mnt/home/jgaber/miniconda3/envs/myenv/lib/python3.12/site-packages/numpy/core/_methods.py:129: RuntimeWarning: invalid value encountered in scalar divide
  ret = ret.dtype.type(ret / rcount)

Episode 33 | Reward: 250000.00 | NumTasksFinishe: 235.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 32/10000 [13:53<82:36:54, 29.84s/it]
Episode 33 | Reward: 250000.00 | NumTasksFinishe: 235.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 33/10000 [13:53<81:18:06, 29.37s/it]
Episode 34 | Reward: 282000.00 | NumTasksFinishe: 239.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 33/10000 [14:21<81:18:06, 29.37s/it]
Episode 34 | Reward: 282000.00 | NumTasksFinishe: 239.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 34/10000 [14:21<80:16:39, 29.00s/it]
Episode 35 | Reward: 242000.00 | NumTasksFinishe: 231.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 34/10000 [14:51<80:16:39, 29.00s/it]
Episode 35 | Reward: 242000.00 | NumTasksFinishe: 231.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 35/10000 [14:51<81:05:46, 29.30s/it]
Episode 36 | Reward: 240000.00 | NumTasksFinishe: 215.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 35/10000 [15:20<81:05:46, 29.30s/it]
Episode 36 | Reward: 240000.00 | NumTasksFinishe: 215.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 36/10000 [15:20<80:33:32, 29.11s/it]
Episode 37 | Reward: 240000.00 | NumTasksFinishe: 230.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 36/10000 [15:50<80:33:32, 29.11s/it]
Episode 37 | Reward: 240000.00 | NumTasksFinishe: 230.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 37/10000 [15:50<81:10:25, 29.33s/it]
Episode 38 | Reward: 280000.00 | NumTasksFinishe: 245.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 37/10000 [16:19<81:10:25, 29.33s/it]
Episode 38 | Reward: 280000.00 | NumTasksFinishe: 245.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 38/10000 [16:19<81:09:03, 29.33s/it]
Episode 39 | Reward: 242000.00 | NumTasksFinishe: 203.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 38/10000 [16:47<81:09:03, 29.33s/it]
Episode 39 | Reward: 242000.00 | NumTasksFinishe: 203.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 39/10000 [16:47<80:27:27, 29.08s/it]
Episode 40 | Reward: 266000.00 | NumTasksFinishe: 231.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 39/10000 [17:16<80:27:27, 29.08s/it]
Episode 40 | Reward: 266000.00 | NumTasksFinishe: 231.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 40/10000 [17:16<80:24:48, 29.07s/it]
Episode 41 | Reward: 248000.00 | NumTasksFinishe: 241.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 40/10000 [17:45<80:24:48, 29.07s/it]
Episode 41 | Reward: 248000.00 | NumTasksFinishe: 241.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 41/10000 [17:45<79:56:41, 28.90s/it]
Episode 42 | Reward: 258000.00 | NumTasksFinishe: 246.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 41/10000 [18:14<79:56:41, 28.90s/it]
Episode 42 | Reward: 258000.00 | NumTasksFinishe: 246.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 42/10000 [18:14<80:26:42, 29.08s/it]
Episode 43 | Reward: 284000.00 | NumTasksFinishe: 231.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 42/10000 [18:42<80:26:42, 29.08s/it]
Episode 43 | Reward: 284000.00 | NumTasksFinishe: 231.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 43/10000 [18:42<79:34:42, 28.77s/it]
Episode 44 | Reward: 224000.00 | NumTasksFinishe: 204.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 43/10000 [19:12<79:34:42, 28.77s/it]
Episode 44 | Reward: 224000.00 | NumTasksFinishe: 204.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 44/10000 [19:12<80:08:38, 28.98s/it]
Episode 45 | Reward: 248000.00 | NumTasksFinishe: 247.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 44/10000 [19:41<80:08:38, 28.98s/it]
Episode 45 | Reward: 248000.00 | NumTasksFinishe: 247.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 45/10000 [19:41<79:50:16, 28.87s/it]
Episode 46 | Reward: 256000.00 | NumTasksFinishe: 230.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 45/10000 [20:10<79:50:16, 28.87s/it]
Episode 46 | Reward: 256000.00 | NumTasksFinishe: 230.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 46/10000 [20:25<93:08:47, 33.69s/it]
Episode 47 | Reward: 224000.00 | NumTasksFinishe: 216.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 46/10000 [20:54<93:08:47, 33.69s/it]
Episode 47 | Reward: 224000.00 | NumTasksFinishe: 216.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 47/10000 [20:54<88:33:48, 32.03s/it]
Episode 48 | Reward: 290000.00 | NumTasksFinishe: 251.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 47/10000 [21:22<88:33:48, 32.03s/it]
Episode 48 | Reward: 290000.00 | NumTasksFinishe: 251.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 48/10000 [21:22<85:36:41, 30.97s/it]
Episode 49 | Reward: 284000.00 | NumTasksFinishe: 221.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 48/10000 [21:50<85:36:41, 30.97s/it]
Episode 49 | Reward: 284000.00 | NumTasksFinishe: 221.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 49/10000 [21:50<82:58:03, 30.02s/it]
Episode 50 | Reward: 242000.00 | NumTasksFinishe: 231.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 49/10000 [22:18<82:58:03, 30.02s/it]
Episode 50 | Reward: 242000.00 | NumTasksFinishe: 231.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 50/10000 [22:18<81:33:52, 29.51s/it]
Episode 51 | Reward: 232000.00 | NumTasksFinishe: 220.0 | Checkpoint: CPU_TransformerConv_DividedTime_noDummy_markov:   0%|          | 50/10000 [22:45<81:33:52, 29.51s/it]
